Name,ImageName,PageURL,Character List,Characters,Control,Flavor Text,Game Text,Numbers,Printing,Rarity,Subtype,Traits,Trivia,Type
Shang Chi: Master of Kung Fu - Fu Manchu,Shangchimasterofkungfufumanchu-CLOP_cb20211027163248.jpg,https://cardguide.fandom.com/wiki/Shang_Chi:_Master_of_Kung_Fu_-_Fu_Manchu_(CLOP),,Fu Manchu,HE,,Opponent's Team with Power Grid 7 or 8 in Power Type of Shang-Chi's choice may not use Power Cards of that Power Type to attack for remainder of battle. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
Shang Chi: Master of Kung Fu,Shangchimasterofkungfu-CLOP_cb20211009135800.jpg,https://cardguide.fandom.com/wiki/Shang_Chi:_Master_of_Kung_Fu_(CLOP),,Shang-Chi,,,"May play ""Elixir Vitae"" from Reserve.",Energy 2Fighting 7Strength 5Intellect 5,Normal,Uncommon,,,,Character
Scorpion - Savage Insanity,Scorpionsavageinsanity-CLOP_cb20211024135553.jpg,https://cardguide.fandom.com/wiki/Scorpion_-_Savage_Insanity_(CLOP),,Scorpion (Marvel Comics),LT,,"Acts as a level 3 Intellect attack, +1 for each Mission card in Scorpion's Defeated Missions Pile.",Cost/Effect: Intellect 3,Normal,Common,,,,Special
Shang Chi: Master of Kung Fu - Meditative Focus,Shangchimasterofkungfumeditativefocus-CLOP_cb20211027171855.jpg,https://cardguide.fandom.com/wiki/Shang_Chi:_Master_of_Kung_Fu_-_Meditative_Focus_(CLOP),,Shang-Chi,BY,,Shang-Chi must discard all cards with a Fighting icon currently in Hand. Opponent must discard all cards with a Fighting icon currently Placed and in Hand. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
Shang Chi: Master of Kung Fu - Sudden Strike,Shangchimasterofkungfusuddenstrike-CLOP_cb20211027173000.jpg,https://cardguide.fandom.com/wiki/Shang_Chi:_Master_of_Kung_Fu_-_Sudden_Strike_(CLOP),,Shang-Chi,AR,,Acts as a level 6 Strength attack.,Cost/Effect: Strength 6,Normal,Common,,,,Special
Shang Chi: Master of Kung Fu - MI-6,Shangchimasterofkungfumi6-CLOP_cb20211027172246.jpg,https://cardguide.fandom.com/wiki/Shang_Chi:_Master_of_Kung_Fu_-_MI-6_(CLOP),,Shang-Chi,LT,,"Acts as a level 3 Energy attack, +1 for each Mission card in opponent's Completed Missions Pile.",Cost/Effect: Energy 3,Normal,Common,,,,Special
Shang Chi: Master of Kung Fu - Kung Fu Secrets,Shangchimasterofkungfukungfuecrets-CLOP_cb20211027171258.jpg,https://cardguide.fandom.com/wiki/Shang_Chi:_Master_of_Kung_Fu_-_Kung_Fu_Secrets_(CLOP),,Shang-Chi,DG,,Acts as a level 2 Intellect attack. May make 2 additional atacks.,Cost/Effect: Intellect 2,Normal,Common,,,,Special
Leader - Green 'n Mean,Leadergreennmean-CLOP_cb20211021155925.jpg,https://cardguide.fandom.com/wiki/Leader_-_Green_%27n_Mean_(CLOP),,Leader,KH,,"Opponent -3 to Venture Total for this battle. If opponent has ""Annihilation Affair"" Mission, opponent -6 to Venture Total for this battle.",Cost/Effect: -,Normal,Common,,,,Special
Shang Chi: Master of Kung Fu - The Elixir Vitae,Shangchimasterofkungfutheelixirvitae_cb20211027173749.jpg,https://cardguide.fandom.com/wiki/Shang_Chi:_Master_of_Kung_Fu_-_The_Elixir_Vitae_(CLOP),,"Fu Manchu, Shang-Chi",KJ,,"Play during battle. After being K.O.'d, Shang-Chi is resurrected at beginning of next battle, remains in play until end of battle, and is discarded at end of battle. One Per Deck",Cost/Effect: -,Normal,Uncommon,,,,Special
Superpatriot (sic),FandomFireLogo_cb20210713142711.png,https://cardguide.fandom.com/wiki/Superpatriot_(pink)_(CLOP),,Super-Patriot,,,"May play any ""Captain America"" Special cards.",Energy 3Fighting 6Strength 7Intellect 2,Normal,Uncommon,,,Pink variant,Character
Spider-Man: Symbiotic Costume,Spidermansymbioticcostume-CLOP_cb20211009140044.jpg,https://cardguide.fandom.com/wiki/Spider-Man_-_Symbiotic_Costume_(CLOP),,Spider-Man,,,-,Energy 6Fighting 5Strength 7Intellect 2,Normal,Rare,,,,Character
Starjammers - Professor X,Starjammersprofessorx-CLOP_cb20211027190254.jpg,https://cardguide.fandom.com/wiki/Starjammers_-_Professor_X_(CLOP),,Professor X,HN,,Acts as a level 8 Any-Power attack. Does not count toward Spectrum K.O.,Cost/Effect: Any-Power 8,Normal,Rare,,,,Special
The Big Apple,Thebigapple-CLOP_cb20211009144239.jpg,https://cardguide.fandom.com/wiki/The_Big_Apple_(CLOP),Heroes For Hire Falcon Thunderbolts Daredevil Spider-Man Morbius,Daredevil,,,Big Apple Team begins game with 6 Mission cards in Reserve Missions Pile and 1 Mission card in Defeated Missions Pile.,,Normal,Common,,,,Location
The Cosmic Control Rod,Thecosmiccontrolrod-CLOP_cb20211008192056.jpg,https://cardguide.fandom.com/wiki/The_Cosmic_Control_Rod_(CLOP),,Annihilus,,,Teammate may move 1 Mission card from Completed or Reserve Missions Pile to Defeated Missions Pile after Draw Phase of each battle to discard 6 cards from Hand. Draw 6 new cards from top of Draw Pile. Normal discard rules apply. One Per Deck,Cost/Effect: 6 Fighting and teammate with 5 Fighting or less,Normal,Rare,Artifact,,,Tactic
The Book of the Darkhold,Thebookofthedarkhold-CLOP_cb20211008191434.jpg,https://cardguide.fandom.com/wiki/The_Book_of_the_Darkhold_(CLOP),,Doctor Strange,,,Teammate's Intellect Rating increases to 7 for remainder of game. One Per Deck,Cost/Effect: 6 Intellect and Teammate with 5 Intellect or less,Normal,Rare,Artifact,,,Tactic
The Hellfire Club - Emma Frost,Thehellfireclubemmafrost-CLOP_cb20211028165600.jpg,https://cardguide.fandom.com/wiki/The_Hellfire_Club_-_Emma_Frost_(CLOP),,Emma Frost,KH,,"Opponent -3 to Venture Total for this battle. If opponent has ""The Dark Phoenix Saga"" Mission, opponent -6 to Venture Total for this battle.",Cost/Effect: -,Normal,Common,,,,Special
The Hand - Erynys,Thehanderynys-CLOP_cb20211028121504.jpg,https://cardguide.fandom.com/wiki/The_Hand_-_Erynys_(CLOP),,Erynys,LT,,"Acts as a level 3 Energy attack, +1 for each Mission card in The Hand's Defeated Missions Pile.",Cost/Effect: Energy 3,Normal,Common,,,,Special
The Infinity Gauntlet,Theinfinitygauntlet-CLOP_cb20211008194058.jpg,https://cardguide.fandom.com/wiki/The_Infinity_Gauntlet_(CLOP),,Thanos,,,"Teammate may discard 5 cards from top of Draw Pile to Dead Pile after Draw Phase, before Events are played, each battle to resurrect any 1 K.O.'d teammate for that battle. Discard teammate at end of battle. One Per Deck",Cost/Effect: 6 Energy and Teammate with 5 Energy or less to use,Normal,Very Rare,Artifact,,,Tactic
Shi'ar - Nightside,Shiarnightside-CLOP_cb20211027174351.jpg,https://cardguide.fandom.com/wiki/Shi%27ar_-_Nightside_(CLOP),,Nightside,LT,,"Acts as a level 3 Fighting attack, +1 for each Mission card in Shi'ar's Defeated Missions Pile.",Cost/Effect: Fighting 3,Normal,Uncommon,,,,Special
Superpatriot (sic),Superpatriot-CLOP_cb20211009141218.jpg,https://cardguide.fandom.com/wiki/Superpatriot_(CLOP),,Super-Patriot,,,"May play any ""Captain America"" Special cards.",Energy 3Fighting 6Strength 7Intellect 2,Normal,Uncommon,,,,Character
The Serpent Crown,Theserpentcrown-CLOP_cb20211008215706.jpg,https://cardguide.fandom.com/wiki/The_Serpent_Crown_(CLOP),,Dorma,,,Teammate's Energy Rating increases to 7 for remainder of game. One Per Deck,Cost/Effect: 6 Energy and teammate with Energy 5 or less to use,Normal,Rare,Artifact,,,Tactic
The Super Soldier Serum,Thesupersoldierserum-CLOP_cb20211008220435.jpg,https://cardguide.fandom.com/wiki/The_Super_Soldier_Serum_(CLOP),,"Steve Rogers, Captain America",,,Teammate's Fighting Rating increases to 7 for remainder of game. One Per Deck,Cost/Effect: 6 Fighting and teammate with 5 Fighting or less to use.,Normal,Rare,Artifact,,,Tactic
The Ultimate Nullifier,Theultimatenullifier-CLOP_cb20211008220859.jpg,https://cardguide.fandom.com/wiki/The_Ultimate_Nullifier_(CLOP),,Mister Fantastic,,,Negates the effect of all Artifact cards. Both players must discard all Placed Artifact cards in play. Discard this card after use.,Cost/Effect: 6 Intellect and Teammate with 5 Intellect or less to use,Normal,Rare,Artifact,,,Tactic
Thunderbolts,Thunderbolts-CLOP_cb20211009141620.jpg,https://cardguide.fandom.com/wiki/Thunderbolts_(CLOP),,"Techno, Meteorite, Citizen V",,,-,Energy 7Fighting 5Strength 4Intellect 6,Normal,Uncommon,,,,Character
Thunderbolts - Citizen V,Thunderboltscitizenv-CLOP_cb20211031113555.jpg,https://cardguide.fandom.com/wiki/Thunderbolts_-_Citizen_V_(CLOP),,Citizen V,KD,,All Fighting Power card Hits on Target Character are doubled when determining Cumulative K.O. for remainder of game. Does not count toward Venture Total. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
The Sewer,Thesewer-CLOP_cb20211009144528.jpg,https://cardguide.fandom.com/wiki/The_Sewer_(CLOP),Abomination Morlocks Venom The Mole Man Lizard Angel,Lizard,,,The Sewer Team's Intellect Power cards +2 for defense.,,Normal,Common,,,,Location
Thunderbolts - M.A.C.H.1,Thunderboltsmach1-CLOP_cb20211031123806.jpg,https://cardguide.fandom.com/wiki/Thunderbolts_-_M.A.C.H.1_(CLOP),,"MACH-1, Beetle (Abner Jenkins)",JH,,"Acts as a level 5 Fighting attack. If successful, Target Character -2 to defense for remainder of battle.",Cost/Effect: Fighting 5,Normal,Common,,,,Special
Thunderbolts - Meteorite,Thunderboltsmeteorite-CLOP_cb20211031124442.jpg,https://cardguide.fandom.com/wiki/Thunderbolts_-_Meteorite_(CLOP),,Meteorite (Karla Sofen),KE,,Draw 2 cards from top of Thunderbolts' Draw Pile. Put 1 card on bottom of Draw Pile. Put 1 card in Hand. May be duplicate. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
Thunderbolts - Songbird,Thunderboltssongbird-CLOP_cb20211031125414.jpg,https://cardguide.fandom.com/wiki/Thunderbolts_-_Songbird_(CLOP),,Songbird,KP,,Play with any Power card usable by Thunderbolts. Thunderbolts may not be attacked by a Power card of equal or lesser value for remainder of battle.,Cost/Effect: -,Normal,Common,,,,Special
Xavier Protocols,Xavierprotocols-P_cb20160929172344.jpg,https://cardguide.fandom.com/wiki/Xavier_Protocols_(P),,Professor X,,,Cost/Action: 6 Intellect to Use. +3 to Intellect.,,Normal,Promo,,,,Universe
Wakanda,Wakanda-CLOP_cb20211009144951.jpg,https://cardguide.fandom.com/wiki/Wakanda_(CLOP),Black Panther Dr. Doom Vision Hawkeye Storm Klaw,"Storm, Black Panther",,,Wakanda Team's MultiPower Power cards are -1 to attack.,,Normal,Rare,,,,Location
X-Babies - Li'l Iceman,Xbabiesliliceman-CLOP_cb20211031131646.jpg,https://cardguide.fandom.com/wiki/X-Babies_-_Li%27l_Iceman_(CLOP),,Iceman,KL,,"Opponent must immediately discard all Special cards in play that affect ""the remainder of the battle"" or ""the remainder of the game.""",Cost/Effect: -,Normal,Common,,,,Special
White Queen - Corporate Cutthroat,Whitequeencorporatecutthroat-CLOP_cb20211031131206.jpg,https://cardguide.fandom.com/wiki/White_Queen_-_Corporate_Cutthroat_(CLOP),,White Queen (Emma Frost),JW,,Acts as a level 3 Intellect attack. May make 1 additional Power Card attack. Neither attack may be defended with a Special Card.,Cost/Effect: Intellect 3,Normal,Common,,,,Special
Thunderbolts - Techno,Thunderboltstechno-CLOP_cb20211031130651.jpg,https://cardguide.fandom.com/wiki/Thunderbolts_-_Techno_(CLOP),,Techno (Norbert Ebersol),AE,,Acts as a level 4 Intellect attack. May combine with 1 Fighting card for a single attack.,Cost/Effect: Intellect 4,Normal,Common,,,,Special
Scorpion,Scorpion-CLOP_cb20211009135237.jpg,https://cardguide.fandom.com/wiki/Scorpion_(CLOP),,Scorpion (Marvel Comics),,,"+1 to attack if opponent has 4, 5, or 6 Mission cards in Completed Pile.",Energy 5Fighting 5Strength 7Intellect 2,Normal,Uncommon,,,,Character
Thunderbolts - Atlas,Thunderboltsatlas-CLOP_cb20211031113147.jpg,https://cardguide.fandom.com/wiki/Thunderbolts_-_Atlas_(CLOP),,Atlas (Erik Josten),KT,,Target Character may not attack for remainder of battle until Target or teammate attacks this Special. Attack does not count toward Venture Total.,Cost/Effect: -,Normal,Common,,,,Special
